word,category,eval2d,intens2d,eval3d,potency3d,activity3d,typicality,s135,
abandonment,Absent,NA,NA,NA,NA,NA,NA,FALSE,
abhorrence,Absent,NA,NA,NA,NA,NA,NA,FALSE,
acceptance,Absent,NA,NA,NA,NA,NA,NA,FALSE,
adoration,Love,1.72,-0.6,1.87,-0.05,-0.98,3.36,TRUE,
affection,Love,1.74,-0.7,1.89,-0.16,-1.08,3.72,TRUE,
aggravation,Anger,-1.2,0.22,-1.35,0.65,0.1,3.63,TRUE,
agitation,Anger,-1.18,0.35,-1.31,0.78,0.2,3.29,TRUE,
agony,Sadness,-1.15,-0.26,-1.37,0.44,-0.06,3.35,TRUE,
alarm,Fear,-0.78,0.94,-0.78,-0.05,1.43,2.87,TRUE,
alertness,Absent,NA,NA,NA,NA,NA,NA,FALSE,
alienation,Sadness,-1.1,-0.51,-1.28,-0.8,-0.24,3.23,TRUE,
amazement,Surprise,1.29,1.1,1.39,-0.05,1.53,2.83,TRUE,
amusement,Joy,1.75,0.02,1.99,-0.26,0.24,2.83,TRUE,
anger,Anger,-1.13,0.68,-1.15,1.3,-0.05,3.9,TRUE,
anguish,Sadness,-1.13,-0.05,-1.35,0.17,0.08,3.49,TRUE,
annoyance,Anger,-1.22,0.2,-1.3,0.92,-0.12,3.03,TRUE,
anxiety,Fear,-0.84,0.68,-0.9,-0.48,1.11,3.46,TRUE,
apprehension,Fear,-0.77,0.62,-0.8,-0.27,1.16,2.99,TRUE,
approval,Absent,NA,NA,NA,NA,NA,NA,FALSE,
arousal,Love,1.61,-0.43,1.8,0.71,-0.27,2.92,TRUE,
astonishment,Surprise,0.68,1.44,0.74,0.07,1.83,2.8,TRUE,
attraction,Love,1.76,-0.5,1.88,0.32,-1.03,2.92,TRUE,
aversion,Absent,NA,NA,NA,NA,NA,NA,FALSE,
awe,Absent,NA,NA,NA,NA,NA,NA,FALSE,
belligerence,Absent,NA,NA,NA,NA,NA,NA,FALSE,
bitterness,Anger,-1.23,-0.02,-1.29,0.92,-0.31,3.38,TRUE,
bliss,Joy,1.52,-0.14,1.77,-0.01,-0.21,3.18,TRUE,
boredom,Absent,NA,NA,NA,NA,NA,NA,FALSE,
calmness,Absent,NA,NA,NA,NA,NA,NA,FALSE,
carefreeness,Absent,NA,NA,NA,NA,NA,NA,FALSE,
carefulness,Absent,NA,NA,NA,NA,NA,NA,FALSE,
caring,Love,1.7,-0.68,1.85,-0.31,-1,2.98,TRUE,
