,aardvark,alligator,alpaca,amphibian,anemone,animal,ant,anteater,antelope,ape,armadillo,ass,baboon,badger,bass,bat,bear,beaver,bee,beetle,bird,bison,black bear,blackbird,bluebird,bluegill,bluejay,boa constrictor,boar,bobcat,brown bear,buffalo,bug,bull,bumblebee,bunny,burro,butterfly,buzzard,calf,camel,canary,cardinal,caribou,cat,caterpillar,catfish,cattle,centipede,chameleon,cheetah,chickadee,chicken,chimp,chinchilla,chipmunk,clam,cobra,cockatiel,cockatoo,cockroach,colt,coon,cougar,cow,coyote,crab,crane,cricket,crocodile,crow,cub,deer,dingo,dinosaur,doe,dog,dolphin,donkey,dove,dragon,duck,eagle,earthworm,eel,egret,eland,elephant,elk,emu,ermine,ewe,falcon,farm animal,fawn,ferret,finch,fish,fisher,flamingo,flea,fly,fowl,fox,frog,gazelle,gecko,gerbil,gibbon,gilamonster,giraffe,gnat,gnu,goat,goldfinch,goldfish,goose,gopher,gorilla,grasshopper,grizzly bear,groundhog,grouse,guinea pig,gull,hamster,hare,hawk,hedgehog,heifer,hen,heron,hippopotamus,hog,holstein,hornet,horse,housecat,human,humb,hummingbird,hyena,ibis,iguana,impala,insect,jackal,jackass,jackrabbit,jaguar,javelina,kangaroo,kitten,koala,kodiak bear,ladybug,lamb,lemur,leopard,lion,lizard,llama,lobster,loon,lynx,mallard,mammal,manatee,mare,marmoset,marmot,marten,mink,minx,mole,mongoose,monkey,moose,mosquito,moth,mountain goat,mountain lion,mountain sheep,mouse,mule,muled,musky,muskox,muskrat,newt,ocelot,octopus,opossum,orangutan,oriole,osprey,ostrich,otter,owl,ox,panda,panther,parakeet,parrot,partridge,peacock,pelican,penguin,perch,person,pheasant,pig,pigeon,pike,platypus,polar bear,pony,porcupine,porpoise,prairie dog,puma,puppy,python,quail,rabbit,raccoon,ram,rat,rattlesnake,raven,redsquirrel,reindeer,reptile,rhinoceros,roadrunner,robin,rodent,rooster,sable,salamander,salmon,seagull,seal,sea lion,shark,sheep,shrew,shrimp,skunk,sloth,snail,snake,sparrow,spider,squid,squirrel,starling,steer,stork,sturgeon,swan,tadpole,tapir,tasmanian devil,tiger,timberwolf,toad,tortoise,trout,turkey,turtle,unicorn,vole,vulture,wallaby,walleye,walrus,warthog,wasp,water buffalo,weasel,whale,whitetail deer,wild animal,wildcat,wildebeest,wolf,wolverine,wombat,woodchuck,woodpecker,worm,wren,yak,zebra
aardvark,0,1,0,0,0,0,7,7,2,0,2,0,2,2,0,2,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
alligator,2,0,0,0,0,0,2,0,6,0,1,0,2,0,0,1,8,2,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,105,0,0,4,0,1,0,6,2,2,0,0,5,0,0,1,1,0,12,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,3,2,0,0,1,0,0,8,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,6,6,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,14,2,1,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,2,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,25,0,2,0,6,0,0,0,0,0,0,0,0,4,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,1,0,0,0,0,0,0,6
alpaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amphibian,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
anemone,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ant,6,1,0,0,0,0,0,2,2,1,1,0,0,1,0,1,7,0,5,2,5,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,6,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anteater,1,0,0,0,0,0,0,0,1,0,4,0,4,0,0,0,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
antelope,3,3,0,0,1,0,0,2,0,1,0,0,2,1,0,0,43,0,0,0,5,11,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,1,3,0,0,9,4,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,2,3,2,0,0,0,1,0,0,63,0,0,0,4,0,1,0,0,1,1,0,0,0,2,22,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,6,0,0,0,0,7,0,3,6,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,4,0,0,1,0,1,0,0,1,0,0,0,0,2,1,6,1,1,0,0,0,0,2,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,0,0,2,1,0,2,1,3,0,2,1,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,4,0,1,0,2,0,0,0,0,3,7,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,4,1,0,0,1,5,0,0,0,0,0,0,0,7
ape,1,3,0,0,0,1,2,1,2,0,0,0,8,0,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,1,0,0,0,0,5,0,0,4,0,1,0,1,40,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
