dim_0,dim_1,worker_id,item,path
0.3947823,0.16756907,78972,CFD-BF-002-004-HO,resources/CFD-BF-002-004-HO.JPEG
0.4886511,0.08649993,78972,CFD-BF-002-018-A,resources/CFD-BF-002-018-A.JPEG
0.20599844,0.10942531,78972,CFD-BF-002-022-F,resources/CFD-BF-002-022-F.JPEG
0.31412503,0.12844554,78972,CFD-BF-005-005-HO,resources/CFD-BF-005-005-HO.JPEG
0.18049236,-0.3168926,78972,CFD-BF-005-020-A,resources/CFD-BF-005-020-A.JPEG
0.19094697,-0.32095847,78972,CFD-BF-005-022-F,resources/CFD-BF-005-022-F.JPEG
0.8049496,-0.086419046,78972,CFD-BF-050-004-HO,resources/CFD-BF-050-004-HO.JPEG
0.2039895,-0.31731907,78972,CFD-BF-050-012-A,resources/CFD-BF-050-012-A.JPEG
0.17984875,-0.46144873,78972,CFD-BF-050-036-F,resources/CFD-BF-050-036-F.JPEG
0.32427347,-0.6922442,78972,CFD-BM-002-002-F,resources/CFD-BM-002-002-F.JPEG
0.66032636,-0.76347286,78972,CFD-BM-002-007-HO,resources/CFD-BM-002-007-HO.JPEG
0.31228572,-0.7637169,78972,CFD-BM-002-016-A,resources/CFD-BM-002-016-A.JPEG
0.38741472,-0.15334101,78972,CFD-BM-009-003-HO,resources/CFD-BM-009-003-HO.JPEG
0.24904351,-0.36074892,78972,CFD-BM-009-008-A,resources/CFD-BM-009-008-A.JPEG
0.30489677,-0.21583775,78972,CFD-BM-009-009-F,resources/CFD-BM-009-009-F.JPEG
2.0158195,1.6154151,78972,CFD-BM-038-007-HO,resources/CFD-BM-038-007-HO.JPEG
2.412792,2.3316967,78972,CFD-BM-038-017-F,resources/CFD-BM-038-017-F.JPEG
2.0815914,2.0065339,78972,CFD-BM-038-038-A,resources/CFD-BM-038-038-A.JPEG
-0.6976804,0.430039,78972,CFD-WF-001-009-HO,resources/CFD-WF-001-009-HO.JPEG
-0.71130854,0.71540654,78972,CFD-WF-001-016-A,resources/CFD-WF-001-016-A.JPEG
-1.5820084,-0.4213641,78972,CFD-WF-001-027-F,resources/CFD-WF-001-027-F.JPEG
-0.60331315,-0.4630866,78972,CFD-WF-020-012-A,resources/CFD-WF-020-012-A.JPEG
-0.57303923,-0.012189825,78972,CFD-WF-020-023-HO,resources/CFD-WF-020-023-HO.JPEG
-0.66329396,-0.5358844,78972,CFD-WF-020-027-F,resources/CFD-WF-020-027-F.JPEG
3.057832,2.983756,78972,CFD-WF-026-008-A,resources/CFD-WF-026-008-A.JPEG
2.4173198,3.3000054,78972,CFD-WF-026-017-HO,resources/CFD-WF-026-017-HO.JPEG
3.0077906,2.9238005,78972,CFD-WF-026-024-F,resources/CFD-WF-026-024-F.JPEG
-0.8256282,-1.2140564,78972,CFD-WM-023-004-HO,resources/CFD-WM-023-004-HO.JPEG
-0.7092829,-0.8387928,78972,CFD-WM-023-012-A,resources/CFD-WM-023-012-A.JPEG
-0.4756577,-1.2446593,78972,CFD-WM-023-015-F,resources/CFD-WM-023-015-F.JPEG
-0.571231,-0.085740104,78972,CFD-WM-033-007-HO,resources/CFD-WM-033-007-HO.JPEG
-0.6540633,-0.5441252,78972,CFD-WM-033-014-A,resources/CFD-WM-033-014-A.JPEG
-0.7028323,-0.95633304,78972,CFD-WM-033-053-F,resources/CFD-WM-033-053-F.JPEG
-0.75108445,0.325042,78972,CFD-WM-038-005-HO,resources/CFD-WM-038-005-HO.JPEG
-0.8535926,0.025618184,78972,CFD-WM-038-011-A,resources/CFD-WM-038-011-A.JPEG
-0.7157194,0.15396263,78972,CFD-WM-038-018-F,resources/CFD-WM-038-018-F.JPEG
-1.0581125,-0.52135634,78103,CFD-BF-002-004-HO,resources/CFD-BF-002-004-HO.JPEG
0.61934525,1.3675563,78103,CFD-BF-002-018-A,resources/CFD-BF-002-018-A.JPEG
-0.4364094,0.4039367,78103,CFD-BF-002-022-F,resources/CFD-BF-002-022-F.JPEG
-0.71658456,-0.6281953,78103,CFD-BF-005-005-HO,resources/CFD-BF-005-005-HO.JPEG
0.3343715,0.57169944,78103,CFD-BF-005-020-A,resources/CFD-BF-005-020-A.JPEG
-0.002917741,0.14454757,78103,CFD-BF-005-022-F,resources/CFD-BF-005-022-F.JPEG
-0.68140674,-0.33534798,78103,CFD-BF-050-004-HO,resources/CFD-BF-050-004-HO.JPEG
0.51665884,0.874566,78103,CFD-BF-050-012-A,resources/CFD-BF-050-012-A.JPEG
-0.12169454,0.38019133,78103,CFD-BF-050-036-F,resources/CFD-BF-050-036-F.JPEG
-0.38350686,0.044488486,78103,CFD-BM-002-002-F,resources/CFD-BM-002-002-F.JPEG
-1.067687,-0.47034186,78103,CFD-BM-002-007-HO,resources/CFD-BM-002-007-HO.JPEG
0.272733,1.1322913,78103,CFD-BM-002-016-A,resources/CFD-BM-002-016-A.JPEG
-1.0492969,-0.4282209,78103,CFD-BM-009-003-HO,resources/CFD-BM-009-003-HO.JPEG
0.57524765,1.2729539,78103,CFD-BM-009-008-A,resources/CFD-BM-009-008-A.JPEG
-0.58705217,0.2529347,78103,CFD-BM-009-009-F,resources/CFD-BM-009-009-F.JPEG
-0.7634754,-0.44329774,78103,CFD-BM-038-007-HO,resources/CFD-BM-038-007-HO.JPEG
-0.19231452,0.48818323,78103,CFD-BM-038-017-F,resources/CFD-BM-038-017-F.JPEG
0.8317814,1.5648729,78103,CFD-BM-038-038-A,resources/CFD-BM-038-038-A.JPEG
-1.1743237,-0.9183504,78103,CFD-WF-001-009-HO,resources/CFD-WF-001-009-HO.JPEG
1.0481061,0.44709712,78103,CFD-WF-001-016-A,resources/CFD-WF-001-016-A.JPEG
0.7321855,-0.04254631,78103,CFD-WF-001-027-F,resources/CFD-WF-001-027-F.JPEG
1.2304524,0.45694065,78103,CFD-WF-020-012-A,resources/CFD-WF-020-012-A.JPEG
-0.5770026,-1.5130901,78103,CFD-WF-020-023-HO,resources/CFD-WF-020-023-HO.JPEG
0.7283691,-0.32885218,78103,CFD-WF-020-027-F,resources/CFD-WF-020-027-F.JPEG
0.8550459,-0.002842969,78103,CFD-WF-026-008-A,resources/CFD-WF-026-008-A.JPEG
-0.6721982,-0.7952006,78103,CFD-WF-026-017-HO,resources/CFD-WF-026-017-HO.JPEG
-0.079021,-0.32714584,78103,CFD-WF-026-024-F,resources/CFD-WF-026-024-F.JPEG
