head,winner,loser,worker_id,rt,Center,Left,Right,Answer,sampleAlg,sampleSet
15,6,0,78972,8728,CFD-BM-038-007-HO,CFD-BF-002-004-HO,CFD-BF-050-004-HO,CFD-BF-050-004-HO,validation,train
29,31,33,78972,9946,CFD-WM-023-015-F,CFD-WM-033-014-A,CFD-WM-038-005-HO,CFD-WM-033-014-A,validation,train
11,28,34,78972,6598,CFD-BM-002-016-A,CFD-WM-023-012-A,CFD-WM-038-011-A,CFD-WM-023-012-A,validation,train
32,14,16,78972,4908,CFD-WM-033-053-F,CFD-BM-009-009-F,CFD-BM-038-017-F,CFD-BM-009-009-F,validation,train
24,31,28,78972,8271,CFD-WF-026-008-A,CFD-WM-033-014-A,CFD-WM-023-012-A,CFD-WM-033-014-A,validation,train
2,23,20,78972,8812,CFD-BF-002-022-F,CFD-WF-001-027-F,CFD-WF-020-027-F,CFD-WF-020-027-F,validation,train
5,14,9,78972,5279,CFD-BF-005-022-F,CFD-BM-002-002-F,CFD-BM-009-009-F,CFD-BM-009-009-F,validation,train
0,8,4,78972,9391,CFD-BF-002-004-HO,CFD-BF-005-020-A,CFD-BF-050-036-F,CFD-BF-050-036-F,validation,train
35,23,26,78972,4552,CFD-WM-038-018-F,CFD-WF-020-027-F,CFD-WF-026-024-F,CFD-WF-020-027-F,validation,train
18,21,26,78972,3174,CFD-WF-001-009-HO,CFD-WF-020-012-A,CFD-WF-026-024-F,CFD-WF-020-012-A,validation,train
19,7,1,78972,5891,CFD-WF-001-016-A,CFD-BF-050-012-A,CFD-BF-002-018-A,CFD-BF-050-012-A,validation,train
9,15,13,78972,31252,CFD-BM-002-002-F,CFD-BM-009-008-A,CFD-BM-038-007-HO,CFD-BM-038-007-HO,validation,train
29,29,15,78972,12298,CFD-WM-023-015-F,CFD-WM-023-015-F,CFD-BM-038-007-HO,CFD-WM-023-015-F,check,NA
9,22,20,78972,21060,CFD-BM-002-002-F,CFD-WF-020-023-HO,CFD-WF-001-027-F,CFD-WF-020-023-HO,random,train
25,22,20,78972,20380,CFD-WF-026-017-HO,CFD-WF-020-023-HO,CFD-WF-001-027-F,CFD-WF-020-023-HO,random,test
20,5,6,78972,6070,CFD-WF-001-027-F,CFD-BF-050-004-HO,CFD-BF-005-022-F,CFD-BF-005-022-F,random,test
6,13,11,78972,6452,CFD-BF-050-004-HO,CFD-BM-009-008-A,CFD-BM-002-016-A,CFD-BM-009-008-A,random,train
10,13,32,78972,5992,CFD-BM-002-007-HO,CFD-BM-009-008-A,CFD-WM-033-053-F,CFD-BM-009-008-A,random,train
31,18,2,78972,7086,CFD-WM-033-014-A,CFD-WF-001-009-HO,CFD-BF-002-022-F,CFD-WF-001-009-HO,random,train
