"head","winner","loser","worker_id","rt","Center","Left","Right","Answer","sampleAlg","sampleSet"
29,24,19,"3n7ggxph","3096","pnhns","pncnb","pdcos","pncnb","random","train"
14,0,24,"3n7ggxph","1100","fnmyb","fdfob","pncnb","fdfob","random","train"
30,19,24,"3n7ggxph","2616","pnhob","pncnb","pdcos","pdcos","random","train"
17,12,13,"3n7ggxph","2629","pdcns","fnmow","fnmob","fnmob","validation","train"
29,9,8,"3n7ggxph","2011","pnhns","fnfow","fnfob","fnfow","random","train"
25,23,12,"3n7ggxph","1498","pncns","fnmob","pdhos","pdhos","random","train"
3,11,19,"3n7ggxph","1469","fdfyw","pdcos","fnfyw","fnfyw","random","train"
16,18,2,"3n7ggxph","1840","pdcnb","pdcob","fdfyb","pdcob","random","train"
27,19,15,"3n7ggxph","1271","pncos","pdcos","fnmyw","pdcos","random","train"
4,6,5,"3n7ggxph","1180","fdmob","fdmyb","fdmow","fdmyb","validation","train"
15,9,30,"3n7ggxph","1363","fnmyw","pnhob","fnfow","fnfow","random","train"
14,28,31,"3n7ggxph","1879","fnmyb","pnhos","pnhnb","pnhnb","validation","train"
25,20,31,"3n7ggxph","2077","pncns","pnhos","pdhnb","pdhnb","random","train"
2,10,17,"3n7ggxph","1163","fdfyb","fnfyb","pdcns","fnfyb","random","train"
8,4,22,"3n7ggxph","1225","fnfob","fdmob","pdhob","fdmob","random","train"
19,28,3,"3n7ggxph","1727","pdcos","pnhnb","fdfyw","pnhnb","random","train"
1,22,26,"3n7ggxph","1497","fdfow","pdhob","pncob","pdhob","random","train"
26,11,20,"3n7ggxph","1815","pncob","pdhnb","fnfyw","fnfyw","random","train"
17,24,26,"3n7ggxph","2555","pdcns","pncnb","pncob","pncnb","random","train"
4,6,8,"3n7ggxph","2211","fdmob","fnfob","fdmyb","fdmyb","random","train"
3,18,27,"3n7ggxph","2454","fdfyw","pdcob","pncos","pdcob","random","train"
5,5,26,"3n7ggxph","1033","fdmow","fdmow","pncob","fdmow","check",NA
6,7,27,"3n7ggxph","1317","fdmyb","pncos","fdmyw","fdmyw","random","train"
14,30,19,"3n7ggxph","2855","fnmyb","pdcos","pnhob","pnhob","random","train"
29,26,22,"3n7ggxph","1851","pnhns","pdhob","pncob","pncob","random","test"
24,22,4,"3n7ggxph","1160","pncnb","pdhob","fdmob","pdhob","random","train"
22,18,29,"3n7ggxph","2000","pdhob","pdcob","pnhns","pdcob","validation","train"
18,27,21,"3n7ggxph","1497","pdcob","pncos","pdhns","pncos","random","train"
18,26,3,"3n7ggxph","1293","pdcob","pncob","fdfyw","pncob","random","train"
14,13,2,"3n7ggxph","2024","fnmyb","fnmow","fdfyb","fnmow","random","train"
3,5,19,"3n7ggxph","1682","fdfyw","pdcos","fdmow","fdmow","random","train"
14,0,17,"3n7ggxph","1339","fnmyb","fdfob","pdcns","fdfob","validation","train"
17,0,1,"3n7ggxph","2480","pdcns","fdfob","fdfow","fdfob","random","train"
0,14,5,"3n7ggxph","1738","fdfob","fdmow","fnmyb","fnmyb","random","train"
24,29,13,"3n7ggxph","1948","pncnb","fnmow","pnhns","pnhns","random","test"
8,25,16,"3n7ggxph","1867","fnfob","pncns","pdcnb","pncns","random","train"
6,0,23,"3n7ggxph","1297","fdmyb","pdhos","fdfob","fdfob","validation","train"
25,30,3,"3n7ggxph","2159","pncns","fdfyw","pnhob","pnhob","random","train"
6,7,13,"3n7ggxph","1880","fdmyb","fnmow","fdmyw","fdmyw","random","train"
11,0,27,"3n7ggxph","1901","fnfyw","pncos","fdfob","fdfob","random","train"
24,22,13,"3n7ggxph","2244","pncnb","pdhob","fnmow","pdhob","validation","train"
29,27,18,"3n7ggxph","2048","pnhns","pdcob","pncos","pncos","random","train"
4,1,30,"3n7ggxph","1632","fdmob","fdfow","pnhob","fdfow","validation","train"
15,8,17,"3n7ggxph","2172","fnmyw","pdcns","fnfob","fnfob","random","train"
27,19,18,"3n7ggxph","2112","pncos","pdcob","pdcos","pdcos","random","train"
15,24,27,"3n7ggxph","1938","fnmyw","pncnb","pncos","pncnb","random","train"
27,23,22,"3n7ggxph","1955","pncos","pdhos","pdhob","pdhos","random","train"
5,15,20,"3n7ggxph","1305","fdmow","pdhnb","fnmyw","fnmyw","validation","train"
20,19,0,"3n7ggxph","1323","pdhnb","fdfob","pdcos","pdcos","random","train"
27,18,23,"3n7ggxph","1829","pncos","pdhos","pdcob","pdcob","random","train"
17,10,13,"3n7ggxph","2081","pdcns","fnmow","fnfyb","fnfyb","random","train"
11,11,23,"3n7ggxph","1022","fnfyw","fnfyw","pdhos","fnfyw","check",NA
12,14,29,"3n7ggxph","1386","fnmob","fnmyb","pnhns","fnmyb","random","train"
22,5,11,"3n7ggxph","1749","pdhob","fdmow","fnfyw","fdmow","random","train"
3,8,30,"3n7ggxph","1335","fdfyw","fnfob","pnhob","fnfob","random","test"
5,1,22,"3n7ggxph","1373","fdmow","pdhob","fdfow","fdfow","random","train"
24,6,4,"3n7ggxph","1830","pncnb","fdmyb","fdmob","fdmyb","random","train"
16,28,2,"3n7ggxph","1696","pdcnb","fdfyb","pnhnb","pnhnb","random","train"
25,28,22,"3n7ggxph","2207","pncns","pnhnb","pdhob","pnhnb","random","train"
15,2,16,"3n7ggxph","1287","fnmyw","pdcnb","fdfyb","fdfyb","random","train"
25,10,6,"3n7ggxph","1716","pncns","fnfyb","fdmyb","fnfyb","random","train"
10,13,31,"3n7ggxph","1001","fnfyb","pnhos","fnmow","fnmow","random","train"
24,17,9,"3n7ggxph","1302","pncnb","pdcns","fnfow","pdcns","random","train"
31,19,6,"3n7ggxph","1031","pnhos","fdmyb","pdcos","pdcos","random","train"
31,22,8,"3n7ggxph","987","pnhos","fnfob","pdhob","pdhob","random","train"
6,20,28,"3n7ggxph","2621","fdmyb","pdhnb","pnhnb","pdhnb","random","train"
30,16,8,"3n7ggxph","1624","pnhob","pdcnb","fnfob","pdcnb","random","train"
14,11,19,"3n7ggxph","1988","fnmyb","fnfyw","pdcos","fnfyw","random","train"
28,13,8,"3n7ggxph","2913","pnhnb","fnmow","fnfob","fnmow","random","train"
21,11,13,"3n7ggxph","1756","pdhns","fnfyw","fnmow","fnfyw","random","train"
30,27,5,"3n7ggxph","1071","pnhob","pncos","fdmow","pncos","random","test"
30,10,14,"3n7ggxph","2685","pnhob","fnmyb","fnfyb","fnfyb","random","train"
27,29,2,"3n7ggxph","778","pncos","pnhns","fdfyb","pnhns","random","train"
23,2,13,"3n7ggxph","1177","pdhos","fnmow","fdfyb","fdfyb","random","train"
13,8,18,"3n7ggxph","924","fnmow","pdcob","fnfob","fnfob","random","train"
2,10,13,"3n7ggxph","1581","fdfyb","fnfyb","fnmow","fnfyb","random","train"
3,11,8,"3n7ggxph","1232","fdfyw","fnfob","fnfyw","fnfyw","random","test"
3,12,16,"3n7ggxph","1508","fdfyw","pdcnb","fnmob","fnmob","random","train"
6,10,17,"3n7ggxph","2307","fdmyb","pdcns","fnfyb","fnfyb","validation","train"
20,31,18,"3n7ggxph","2379","pdhnb","pdcob","pnhos","pnhos","random","test"
16,20,4,"3n7ggxph","1524","pdcnb","pdhnb","fdmob","pdhnb","validation","train"
22,27,25,"3n7ggxph","1928","pdhob","pncns","pncos","pncos","random","train"
22,18,19,"3n7ggxph","2158","pdhob","pdcob","pdcos","pdcob","random","train"
8,9,22,"3n7ggxph","1763","fnfob","fnfow","pdhob","fnfow","random","train"
5,7,11,"3n7ggxph","1545","fdmow","fdmyw","fnfyw","fdmyw","validation","train"
6,13,21,"3n7ggxph","1811","fdmyb","fnmow","pdhns","fnmow","random","train"
23,17,8,"3n7ggxph","1872","pdhos","fnfob","pdcns","pdcns","random","train"
14,8,30,"3n7ggxph","2263","fnmyb","fnfob","pnhob","fnfob","random","test"
31,3,7,"3n7ggxph","8016","pnhos","fdmyw","fdfyw","fdfyw","random","test"
9,2,12,"3n7ggxph","3374","fnfow","fdfyb","fnmob","fdfyb","random","train"
8,27,24,"3n7ggxph","1765","fnfob","pncnb","pncos","pncos","random","train"
0,18,29,"3n7ggxph","1369","fdfob","pdcob","pnhns","pdcob","random","test"
24,20,29,"3n7ggxph","1899","pncnb","pnhns","pdhnb","pdhnb","random","train"
12,4,14,"3n7ggxph","1673","fnmob","fdmob","fnmyb","fdmob","validation","train"
19,21,9,"3n7ggxph","1752","pdcos","fnfow","pdhns","pdhns","random","train"
26,19,15,"3n7ggxph","2200","pncob","pdcos","fnmyw","pdcos","random","train"
6,13,10,"3n7ggxph","1892","fdmyb","fnmow","fnfyb","fnmow","random","train"
