dim_0,dim_1,dim_2,worker_id,item,path
0.69165385,-0.09053996,-0.22918265,group,fdfob,resources/fdfob.png
0.4400849,-0.2634243,-0.20503218,group,fdfow,resources/fdfow.png
0.59741527,-0.24912937,-0.3499324,group,fdfyb,resources/fdfyb.png
0.5924636,-0.24085337,-0.36605418,group,fdfyw,resources/fdfyw.png
0.53080153,-0.23123144,-0.6570151,group,fdmob,resources/fdmob.png
0.2408338,-0.21712299,-0.7506564,group,fdmow,resources/fdmow.png
0.6614136,-0.26985583,-0.6197683,group,fdmyb,resources/fdmyb.png
0.3784354,-0.27964136,-0.62100726,group,fdmyw,resources/fdmyw.png
0.1999436,-0.8812358,-0.41053146,group,fnfob,resources/fnfob.png
0.39669886,-0.54183817,-0.15547267,group,fnfow,resources/fnfow.png
0.36297265,-0.4471528,-0.070243716,group,fnfyb,resources/fnfyb.png
0.32466224,-0.5348668,-0.07551735,group,fnfyw,resources/fnfyw.png
0.2372222,-0.59742993,-0.45896795,group,fnmob,resources/fnmob.png
0.024257286,-0.601306,-0.54983926,group,fnmow,resources/fnmow.png
0.37439236,-0.4546204,-0.09956606,group,fnmyb,resources/fnmyb.png
0.44998547,-0.55958015,-0.10531736,group,fnmyw,resources/fnmyw.png
-0.117900416,0.53982246,0.1855097,group,pdcnb,resources/pdcnb.png
-0.09024577,0.48324972,0.19175778,group,pdcns,resources/pdcns.png
-0.7209777,0.5375383,-0.009165677,group,pdcob,resources/pdcob.png
-0.69638115,0.53405106,0.13830777,group,pdcos,resources/pdcos.png
0.12732509,0.5469795,0.39126733,group,pdhnb,resources/pdhnb.png
-0.037690844,0.44057623,0.3130909,group,pdhns,resources/pdhns.png
-0.2900612,0.76979864,0.05701866,group,pdhob,resources/pdhob.png
-0.26353338,0.5372053,0.6741284,group,pdhos,resources/pdhos.png
-0.6103306,0.19781086,0.28007376,group,pncnb,resources/pncnb.png
-0.4467032,0.1215649,0.437874,group,pncns,resources/pncns.png
-0.9205775,0.2021844,0.10257328,group,pncob,resources/pncob.png
-0.74926656,0.60158914,0.46367106,group,pncos,resources/pncos.png
-0.51142585,0.19136743,0.62234753,group,pnhnb,resources/pnhnb.png
-0.06356894,0.20840201,0.77088183,group,pnhns,resources/pnhns.png
-0.49068406,0.41919452,0.7087358,group,pnhob,resources/pnhob.png
-0.1443234,0.6000821,0.7513437,group,pnhos,resources/pnhos.png
